,Date,Days_To_Pending,Year,Month,Sale_To_List_Price_Ratio
0,2018-01-06,55.0,2018,1,0.97875884365986
1,2018-01-13,51.0,2018,1,0.978622318801994
2,2018-01-20,46.0,2018,1,0.976462805272125
3,2018-01-27,44.0,2018,1,0.974534119014599
4,2018-02-03,35.0,2018,2,0.975191632343784
5,2018-02-10,28.0,2018,2,0.976538901429087
6,2018-02-17,25.0,2018,2,0.979033866052569
7,2018-02-24,23.0,2018,2,0.980044490688044
8,2018-03-03,23.0,2018,3,0.979491683018027
9,2018-03-10,19.0,2018,3,0.98184849436472
10,2018-03-17,21.0,2018,3,0.983080078991501
11,2018-03-24,20.0,2018,3,0.984825473869055
12,2018-03-31,19.0,2018,3,0.984623256198423
13,2018-04-07,20.0,2018,4,0.985460185629938
14,2018-04-14,19.0,2018,4,0.985655897275204
15,2018-04-21,17.0,2018,4,0.986471199463252
16,2018-04-28,17.0,2018,4,0.987320621096642
17,2018-05-05,18.0,2018,5,0.984829788326926
18,2018-05-12,16.0,2018,5,0.98661409084182
19,2018-05-19,17.0,2018,5,0.987347720011192
20,2018-05-26,19.0,2018,5,0.987482562605903
21,2018-06-02,20.0,2018,6,0.988390592531766
22,2018-06-09,19.0,2018,6,0.989262592599581
23,2018-06-16,19.0,2018,6,0.989093041106295
24,2018-06-23,19.0,2018,6,0.988459303598876
25,2018-06-30,21.0,2018,6,0.986689857519292
26,2018-07-07,21.0,2018,7,0.98523229143234
27,2018-07-14,22.0,2018,7,0.986156967571653
28,2018-07-21,22.0,2018,7,0.984560838507449
29,2018-07-28,24.0,2018,7,0.984812339126708
30,2018-08-04,23.0,2018,8,0.983698911005011
31,2018-08-11,25.0,2018,8,0.983238343829261
32,2018-08-18,25.0,2018,8,0.98238342400786
33,2018-08-25,26.0,2018,8,0.981944821215051
34,2018-09-01,27.0,2018,9,0.981166606459911
35,2018-09-08,29.0,2018,9,0.980028709954948
36,2018-09-15,29.0,2018,9,0.979506124324187
37,2018-09-22,29.0,2018,9,0.979568088256184
38,2018-09-29,30.0,2018,9,0.978871474656493
39,2018-10-06,29.0,2018,10,0.976642445942324
40,2018-10-13,31.0,2018,10,0.977410993963107
41,2018-10-20,31.0,2018,10,0.977594301057008
42,2018-10-27,32.0,2018,10,0.977201107670095
43,2018-11-03,33.0,2018,11,0.977415511012571
44,2018-11-10,35.0,2018,11,0.975889018030972
45,2018-11-17,34.0,2018,11,0.975074139981685
46,2018-11-24,35.0,2018,11,0.977990704706858
47,2018-12-01,,2018,12,0.976099390628664
48,2018-12-08,43.0,2018,12,0.975676567772239
49,2018-12-15,44.0,2018,12,0.974860449759269
50,2018-12-22,46.0,2018,12,0.973777685893583
51,2018-12-29,51.0,2018,12,0.974466923414332
52,2019-01-05,55.0,2019,1,0.973620864243084
53,2019-01-12,52.0,2019,1,0.971593263685027
54,2019-01-19,47.0,2019,1,0.972242548119029
55,2019-01-26,44.0,2019,1,0.971520083706319
56,2019-02-02,40.0,2019,2,0.971035605394555
57,2019-02-09,31.0,2019,2,0.972450176087688
58,2019-02-16,29.0,2019,2,0.975190533804936
59,2019-02-23,28.0,2019,2,0.975947587851387
60,2019-03-02,29.0,2019,3,0.976210601582474
61,2019-03-09,24.0,2019,3,0.977359688974846
62,2019-03-16,23.0,2019,3,0.977916339392862
63,2019-03-23,21.0,2019,3,0.97851695083704
64,2019-03-30,21.0,2019,3,0.979458627283536
65,2019-04-06,20.0,2019,4,0.978413564859263
66,2019-04-13,18.0,2019,4,0.980853535667541
67,2019-04-20,17.0,2019,4,0.981214427292098
68,2019-04-27,20.0,2019,4,0.982474726058188
69,2019-05-04,19.0,2019,5,0.982211247612395
70,2019-05-11,18.0,2019,5,0.982955925242056
71,2019-05-18,20.0,2019,5,0.983359875945572
72,2019-05-25,18.0,2019,5,0.983955723283598
73,2019-06-01,21.0,2019,6,0.98455170045561
74,2019-06-08,20.0,2019,6,0.983967975841918
75,2019-06-15,21.0,2019,6,0.984579805938752
76,2019-06-22,21.0,2019,6,0.984527247889482
77,2019-06-29,22.0,2019,6,0.984707793259332
78,2019-07-06,21.0,2019,7,0.983132736814524
79,2019-07-13,25.0,2019,7,0.984771299164512
80,2019-07-20,24.0,2019,7,0.983266737690954
81,2019-07-27,25.0,2019,7,0.983242820766688
82,2019-08-03,25.0,2019,8,0.98214808655344
83,2019-08-10,25.0,2019,8,0.981297385314272
84,2019-08-17,26.0,2019,8,0.980965515426823
85,2019-08-24,27.0,2019,8,0.980952307710899
86,2019-08-31,27.0,2019,8,0.980522027245279
87,2019-09-07,28.0,2019,9,0.979881572901904
88,2019-09-14,28.0,2019,9,0.979010897391035
89,2019-09-21,27.0,2019,9,0.978692228212403
90,2019-09-28,28.0,2019,9,0.979031102238988
91,2019-10-05,31.0,2019,10,0.977889993815222
92,2019-10-12,28.0,2019,10,0.977985874300645
93,2019-10-19,29.0,2019,10,0.978173300037794
94,2019-10-26,29.0,2019,10,0.97807033801151
95,2019-11-02,31.0,2019,11,0.978292952729651
96,2019-11-09,33.0,2019,11,0.976930926099266
97,2019-11-16,34.0,2019,11,0.976937677449379
98,2019-11-23,34.0,2019,11,0.977739393336531
99,2019-11-30,36.0,2019,11,0.978109073533431
100,2019-12-07,41.0,2019,12,0.976512352933676
101,2019-12-14,40.0,2019,12,0.976221497090718
102,2019-12-21,42.0,2019,12,0.975912297803702
103,2019-12-28,47.0,2019,12,0.975178001713524
104,2020-01-04,52.0,2020,1,0.97446784175366
105,2020-01-11,48.0,2020,1,0.973961755464586
106,2020-01-18,43.0,2020,1,0.973909439202642
107,2020-01-25,36.0,2020,1,0.972753154157708
108,2020-02-01,27.0,2020,2,0.973089963692528
109,2020-02-08,25.0,2020,2,0.973252105930953
110,2020-02-15,22.0,2020,2,0.975824922429543
111,2020-02-22,22.0,2020,2,0.976570972874881
112,2020-02-29,20.0,2020,2,0.977494501604935
113,2020-03-07,18.0,2020,3,0.979240026139473
114,2020-03-14,15.0,2020,3,0.981302743076057
115,2020-03-21,13.0,2020,3,0.98183038770673
116,2020-03-28,14.0,2020,3,0.983722339600352
117,2020-04-04,16.0,2020,4,0.982848482189809
118,2020-04-11,18.0,2020,4,0.983964342274495
119,2020-04-18,21.0,2020,4,0.984382227897102
120,2020-04-25,22.0,2020,4,0.98278280468844
121,2020-05-02,24.0,2020,5,0.982703407139087
122,2020-05-09,20.0,2020,5,0.980906146776062
123,2020-05-16,19.0,2020,5,0.980272480509643
124,2020-05-23,18.0,2020,5,0.980571039349878
125,2020-05-30,18.0,2020,5,0.982299028872354
126,2020-06-06,17.0,2020,6,0.981432924149291
127,2020-06-13,17.0,2020,6,0.98288453809397
128,2020-06-20,15.0,2020,6,0.983592305023897
129,2020-06-27,15.0,2020,6,0.984955583912737
130,2020-07-04,14.0,2020,7,0.98565558099891
131,2020-07-11,15.0,2020,7,0.98679876580179
132,2020-07-18,14.0,2020,7,0.987447070814816
133,2020-07-25,13.0,2020,7,0.988541426256905
134,2020-08-01,13.0,2020,8,0.988411024394409
135,2020-08-08,13.0,2020,8,0.988332117371751
136,2020-08-15,12.0,2020,8,0.989509214685874
137,2020-08-22,12.0,2020,8,0.98990037448389
138,2020-08-29,13.0,2020,8,0.990864095064633
139,2020-09-05,15.0,2020,9,0.989800981400709
140,2020-09-12,18.0,2020,9,0.990717622960106
141,2020-09-19,13.0,2020,9,0.991095025529321
142,2020-09-26,12.0,2020,9,0.991938526466963
143,2020-10-03,15.0,2020,10,0.990719229442359
144,2020-10-10,12.0,2020,10,0.99201578903633
145,2020-10-17,12.0,2020,10,0.991983497635418
146,2020-10-24,12.0,2020,10,0.991559118505103
147,2020-10-31,13.0,2020,10,0.991838343657219
148,2020-11-07,13.0,2020,11,0.991837736161535
149,2020-11-14,13.0,2020,11,0.992916407815997
150,2020-11-21,13.0,2020,11,0.991896485313427
151,2020-11-28,13.0,2020,11,0.992959497077996
152,2020-12-05,18.0,2020,12,0.991076902456019
153,2020-12-12,16.0,2020,12,0.990880428125854
154,2020-12-19,14.0,2020,12,0.990140016364809
155,2020-12-26,14.0,2020,12,0.99055541653832
156,2021-01-02,21.0,2021,1,0.988959595715735
157,2021-01-09,23.0,2021,1,0.989778880340868
158,2021-01-16,32.0,2021,1,0.98985184211547
159,2021-01-23,10.0,2021,1,0.988699385857616
160,2021-01-30,11.0,2021,1,0.988449897395549
161,2021-02-06,10.0,2021,2,0.988336176705007
162,2021-02-13,9.0,2021,2,0.991008276415149
163,2021-02-20,8.0,2021,2,0.99381815867543
164,2021-02-27,9.0,2021,2,0.995026582097258
165,2021-03-06,7.0,2021,3,0.996627520129995
166,2021-03-13,7.0,2021,3,0.999545140505051
167,2021-03-20,7.0,2021,3,1.00110070584104
168,2021-03-27,7.0,2021,3,1.00333251832188
169,2021-04-03,7.0,2021,4,1.00412871039964
170,2021-04-10,7.0,2021,4,1.00744526433599
171,2021-04-17,6.0,2021,4,1.00919463128473
172,2021-04-24,6.0,2021,4,1.01249159367524
173,2021-05-01,6.0,2021,5,1.01200385078139
174,2021-05-08,6.0,2021,5,1.01400495012728
175,2021-05-15,6.0,2021,5,1.01706969519668
176,2021-05-22,6.0,2021,5,1.01905855482426
177,2021-05-29,6.0,2021,5,1.01855662891519
178,2021-06-05,7.0,2021,6,1.01955750689636
179,2021-06-12,7.0,2021,6,1.0213573838651
180,2021-06-19,7.0,2021,6,1.0219070309117
181,2021-06-26,7.0,2021,6,1.02214044269741
182,2021-07-03,7.0,2021,7,1.02019294445196
183,2021-07-10,9.0,2021,7,1.02141405598584
184,2021-07-17,7.0,2021,7,1.01931529530862
185,2021-07-24,8.0,2021,7,1.01800850387724
186,2021-07-31,8.0,2021,7,1.016324486165
187,2021-08-07,8.0,2021,8,1.0139749071946
188,2021-08-14,9.0,2021,8,1.01347274250446
189,2021-08-21,9.0,2021,8,1.01178479573037
190,2021-08-28,10.0,2021,8,1.01085914534646
191,2021-09-04,10.0,2021,9,1.00889415781784
192,2021-09-11,10.0,2021,9,1.00806068980955
193,2021-09-18,9.0,2021,9,1.00602758332779
194,2021-09-25,10.0,2021,9,1.00494049999401
195,2021-10-02,11.0,2021,10,1.00367753954203
196,2021-10-09,10.0,2021,10,1.00334449159999
197,2021-10-16,10.0,2021,10,1.0033257358779
198,2021-10-23,11.0,2021,10,1.00320144444946
